NAME,STATE,CITY,COUNTY,WEBSITE,TOT_ENROLL,NAICS_DESC,TELEPHONE
GENEVA COLLEGE,PA,BEAVER FALLS,BEAVER,www.geneva.edu/,1349,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(724) 846-5100
LANSDALE SCHOOL OF BUSINESS,PA,NORTH WALES,MONTGOMERY,www.lsb.edu/,119,JUNIOR COLLEGES,(215) 699-5700
MCMURRY UNIVERSITY,TX,ABILENE,TAYLOR,https://ww2.mcm.edu/,1094,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(325) 793-3800
MYOTHERAPY COLLEGE OF UTAH,UT,MILLCREEK CITY,SALT LAKE,myotherapycollege.com/,105,OTHER TECHNICAL AND TRADE SCHOOLS,(801) 484-7624
CARRINGTON COLLEGE-ALBUQUERQUE,NM,ALBUQUERQUE,BERNALILLO,https://carrington.edu/,440,JUNIOR COLLEGES,(505) 254-7777
DAOIST TRADITIONS COLLEGE OF CHINESE MEDICAL ARTS,NC,ASHEVILLE,BUNCOMBE,daoisttraditions.edu/,110,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(828) 225-3993
DAYTON BARBER COLLEGE,OH,MIAMISBURG,MONTGOMERY,www.daytonbarbercollege.edu/,66,COSMETOLOGY AND BARBER SCHOOLS,(937) 222-9101
TONI & GUY HAIRDRESSING ACADEMY-COLORADO SPRINGS,CO,COLORADO SPRINGS,EL PASO,https://coloradosprings.toniguy.edu/,161,COSMETOLOGY AND BARBER SCHOOLS,(719) 390-9898 EXT 104
HERITAGE CHRISTIAN UNIVERSITY,AL,FLORENCE,LAUDERDALE,www.hcu.edu/,110,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(256) 766-6610
MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS-PAUL MITCHELL PARTNER SCHOOL,NH,BEDFORD,HILLSBOROUGH,paulmitchell.edu/bedford,86,COSMETOLOGY AND BARBER SCHOOLS,(603) 668-4300
AMERICAN SENTINEL UNIVERSITY,CO,DENVER,DENVER,www.americansentinel.edu/,2761,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(303) 991-1575
SOUTH SEATTLE COLLEGE,WA,SEATTLE,KING,southseattle.edu/,5324,JUNIOR COLLEGES,(206) 934-5300
OHLONE COLLEGE,CA,FREMONT,ALAMEDA,www.ohlone.edu/,9060,JUNIOR COLLEGES,(510) 659-6000
TRINITY EPISCOPAL SCHOOL FOR MINISTRY,PA,AMBRIDGE,BEAVER,www.tsm.edu/,160,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(724) 266-3838
PARAMOUNT BEAUTY ACADEMY,OH,PORTSMOUTH,SCIOTO,www.paramountbeautyacademy.com/,46,COSMETOLOGY AND BARBER SCHOOLS,(740) 353-2436
BENEDICT COLLEGE,SC,COLUMBIA,RICHLAND,www.benedict.edu/,1731,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(803) 256-4220
WEST VIRGINIA UNIVERSITY HOSPITAL DEPARTMENTS OF RAD TECH AND NUTRITION,WV,MORGANTOWN,MONONGALIA,https://www.wvuhradtech.com/,64,OTHER TECHNICAL AND TRADE SCHOOLS,(304) 598-4251
ANTIOCH UNIVERSITY-NEW ENGLAND,NH,KEENE,CHESHIRE,www.antiochne.edu/,895,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(603) 357-3122
CENTRAL SUSQUEHANNA INTERMEDIATE UNIT LPN CAREER,PA,LEWISBURG,UNION,www.csiu.org/lpn,93,OTHER TECHNICAL AND TRADE SCHOOLS,(570) 768-4960
FORTIS COLLEGE-CINCINNATI,OH,CINCINNATI,HAMILTON,www.fortis.edu/,587,JUNIOR COLLEGES,(513) 771-2795 EXT 2186
UNIVERSITY OF SOUTH CAROLINA-UNION,SC,UNION,UNION,www.sc.edu/about/system_and_campuses/union/index.php,1071,JUNIOR COLLEGES,(864) 429-8728
GLENVILLE STATE COLLEGE,WV,GLENVILLE,GILMER,www.glenville.edu/,1583,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(304) 462-7361
CAREER DEVELOPMENT INSTITUTE INC,CA,LOS ANGELES,LOS ANGELES,cdi.edu/,164,OTHER TECHNICAL AND TRADE SCHOOLS,(310) 559-0225
SOUTHERN UNIVERSITY-BOARD AND SYSTEM,LA,BATON ROUGE,EAST BATON ROUGE,www.sus.edu/,-999,EDUCATIONAL SUPPORT SERVICES,(225) 771-4500
UNIFICATION THEOLOGICAL SEMINARY,NY,NEW YORK,NEW YORK,https://www.uts.edu/,130,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(212) 563-6647
CALIFORNIA STATE UNIVERSITY-DOMINGUEZ HILLS,CA,CARSON,LOS ANGELES,https://www.csudh.edu/,18687,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(310) 243-3696
COMPTON COLLEGE,CA,COMPTON,LOS ANGELES,www.compton.edu/,4612,JUNIOR COLLEGES,(310) 900-1600
PITTSBURG STATE UNIVERSITY,KS,PITTSBURG,CRAWFORD,www.pittstate.edu/,6398,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(620) 231-7000
READING AREA COMMUNITY COLLEGE,PA,READING,BERKS,https://www.racc.edu/,3924,JUNIOR COLLEGES,(610) 372-4721
UNIVERSITY OF REDLANDS,CA,REDLANDS,SAN BERNARDINO,www.redlands.edu/,4566,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(909) 793-2121
INDIANA COUNTY TECHNOLOGY CENTER,PA,INDIANA,INDIANA,www.ictc.edu/,118,OTHER TECHNICAL AND TRADE SCHOOLS,(724) 349-6700
THE COLLEGE OF WESTCHESTER,NY,WHITE PLAINS,WESTCHESTER,www.cw.edu/,934,JUNIOR COLLEGES,(914) 948-4442
HUMACAO COMMUNITY COLLEGE,PR,HUMACAO,HUMACAO,www.hccpr.edu/,301,JUNIOR COLLEGES,(787) 852-1430
ORANGE ULSTER BOCES-PRACTICAL NURSING PROGRAM,NY,GOSHEN,ORANGE,www.ouboces.org/,37,OTHER TECHNICAL AND TRADE SCHOOLS,(845) 781-4642
NEW YORK COLLEGE OF HEALTH PROFESSIONS,NY,SYOSSET,NASSAU,www.nycollege.edu/,367,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(516) 364-0808 EXT 100
BRANFORD ACADEMY OF HAIR AND COSMETOLOGY,CT,BRANFORD,NEW HAVEN,www.branfordacademy.com/,19,COSMETOLOGY AND BARBER SCHOOLS,(203) 315-2985
YESHIVAS BE'ER YITZCHOK,NJ,ELIZABETH,UNION,https://yeshivasbeeryitzchok.org/,57,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(908) 354-6057
HILLTOP BEAUTY SCHOOL,CA,DALY CITY,SAN MATEO,www.hilltopbeautyschool.com/,104,COSMETOLOGY AND BARBER SCHOOLS,(650) 992-4949
NORTHWESTERN TECHNOLOGICAL INSTITUTE,MI,SOUTHFIELD,OAKLAND,www.northwesterntech.edu/,852,OTHER TECHNICAL AND TRADE SCHOOLS,(248) 358-4006
MINNESOTA STATE UNIVERSITY MOORHEAD,MN,MOORHEAD,CLAY,https://www.mnstate.edu/,5547,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(800) 593-7246
HANNIBAL-LAGRANGE UNIVERSITY,MO,HANNIBAL,MARION,www.hlg.edu/,739,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(573) 221-3675
INTERDENOMINATIONAL THEOLOGICAL CENTER,GA,ATLANTA,FULTON,www.itc.edu/,285,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(404) 527-7729
MS ROBERTS ACADEMY OF BEAUTY CULTURE,IL,HILLSIDE,COOK,www.msroberts-academy.com/,44,COSMETOLOGY AND BARBER SCHOOLS,(708) 649-9088
BLUEFIELD COLLEGE,VA,BLUEFIELD,TAZEWELL,www.bluefield.edu/,965,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(276) 326-3682
MORGANTOWN BEAUTY COLLEGE INC,WV,MORGANTOWN,MONONGALIA,www.morgantownbeautycollege.edu/,69,COSMETOLOGY AND BARBER SCHOOLS,(304) 292-8475 EXT 0
EAST CENTRAL COLLEGE,MO,UNION,FRANKLIN,www.eastcentral.edu/,2593,JUNIOR COLLEGES,(636) 584-6500
HONOLULU COMMUNITY COLLEGE,HI,HONOLULU,HONOLULU,https://www.honolulu.hawaii.edu/,3378,JUNIOR COLLEGES,(808) 845-9211
DREW UNIVERSITY,NJ,MADISON,MORRIS,www.drew.edu/,2229,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(973) 408-3000
GOODFELLAS BARBER COLLEGE,AR,LITTLE ROCK,PULASKI,www.gfbc.edu/,7,COSMETOLOGY AND BARBER SCHOOLS,(501) 707-7983
SANS TECHNOLOGY INSTITUTE,MD,NORTH BETHESDA,MONTGOMERY,www.sans.edu/,567,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(301) 654-7267
ARIZONA COLLEGE OF NURSING-TAMPA,FL,TAMPA,HILLSBOROUGH,https://www.arizonacollege.edu/,143,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(855) 706-8382
STOCKTON UNIVERSITY,NJ,GALLOWAY,ATLANTIC,https://www.stockton.edu/,9893,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(609) 652-1776
BETHLEHEM COLLEGE & SEMINARY,MN,MINNEAPOLIS,HENNEPIN,bcsmn.edu/,210,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(612) 455-3420
WAVE LEADERSHIP COLLEGE,VA,VIRGINIA BEACH,VIRGINIA BEACH CITY,wavecollege.edu/,41,JUNIOR COLLEGES,(757) 401-6426
UNITED EDUCATION INSTITUTE - UEI COLLEGE - PHOENIX,AZ,PHOENIX,MARICOPA,https://www.uei.edu/,1271,JUNIOR COLLEGES,(623) 888-5261
PAUL MITCHELL THE SCHOOL-TEMECULA,CA,TEMECULA,RIVERSIDE,paulmitchell.edu/temecula/,346,COSMETOLOGY AND BARBER SCHOOLS,(951) 694-4323
GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,GA,ATLANTA,FULTON,www.gatech.edu/,39771,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(404) 894-2000
FOSBRE ACADEMY OF HAIR DESIGN,WA,OLYMPIA,THURSTON,www.fosbre.edu/,98,COSMETOLOGY AND BARBER SCHOOLS,(360) 481-6816
CLAREMONT LINCOLN UNIVERSITY,CA,CLAREMONT,LOS ANGELES,https://claremontlincoln.edu/,300,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(909) 667-4400
BRUNSWICK COMMUNITY COLLEGE,NC,BOLIVIA,BRUNSWICK,www.brunswickcc.edu/,1553,JUNIOR COLLEGES,(910) 755-7300
SAINT CHARLES BORROMEO SEMINARY-OVERBROOK,PA,WYNNEWOOD,MONTGOMERY,www.scs.edu/,180,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(610) 667-3394
PENNSYLVANIA STATE UNIVERSITY-PENN STATE HARRISBURG,PA,MIDDLETOWN,DAUPHIN,harrisburg.psu.edu,-999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(717) 948-6250
OKLAHOMA CHRISTIAN UNIVERSITY,OK,EDMOND,OKLAHOMA,www.oc.edu/,2055,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(405) 425-5000
UNIVERSITY OF MEMPHIS,TN,MEMPHIS,SHELBY,www.memphis.edu/,22205,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(901) 678-2000
FUTURE-TECH INSTITUTE,FL,MIAMI,MIAMI-DADE,www.futuretechinstitute.com/,105,OTHER TECHNICAL AND TRADE SCHOOLS,(305) 774-0227
DAVIDSON COUNTY COMMUNITY COLLEGE,NC,THOMASVILLE,DAVIDSON,www.davidsonccc.edu/,3765,JUNIOR COLLEGES,(336) 249-8186
FORTIS INSTITUTE,TX,HOUSTON,HARRIS,https://www.fortis.edu/,390,OTHER TECHNICAL AND TRADE SCHOOLS,(713) 332-0062
EMPIRE BEAUTY SCHOOL-NE PHILADELPHIA,PA,PHILADELPHIA,PHILADELPHIA,www.empire.edu/,87,COSMETOLOGY AND BARBER SCHOOLS,(800) 920-4593
NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT,CA,ANAHEIM,ORANGE,www.nocccd.edu/,-999,EDUCATIONAL SUPPORT SERVICES,(714) 808-4500
HAZELDEN BETTY FORD GRADUATE SCHOOL OF ADDICTION STUDIES,MN,CENTER CITY,CHISAGO,www.hazeldenbettyford.edu/,174,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(888) 257-7800 EXT 4175
KENNETH SHULER SCHOOL OF COSMETOLOGY-FLORENCE,SC,FLORENCE,FLORENCE,www.kennethshuler.com/,156,COSMETOLOGY AND BARBER SCHOOLS,(843) 679-3778
CINTA AVEDA INSTITUTE,CA,SAN FRANCISCO,SAN FRANCISCO,www.cintaaveda.edu/,141,COSMETOLOGY AND BARBER SCHOOLS,(415) 989-4400
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-CRUMP,TN,CRUMP,HARDIN,www.tcatcrump.edu/,839,OTHER TECHNICAL AND TRADE SCHOOLS,(731) 632-3393 EXT 224
ARLINGTON CAREER INSTITUTE,TX,GRAND PRAIRIE,TARRANT,www.arlingtoncareerinstitute.edu/,344,OTHER TECHNICAL AND TRADE SCHOOLS,(972) 647-1607 EXT 223
CENTRAL ALABAMA COMMUNITY COLLEGE,AL,ALEXANDER CITY,TALLAPOOSA,www.cacc.edu/,1546,JUNIOR COLLEGES,(256) 234-6346
HAZLETON AREA CAREER CENTER,PA,HAZLE TWP.,LUZERNE,www.hasdk12.org/,8,OTHER TECHNICAL AND TRADE SCHOOLS,(570) 459-3221 EXT 82407
CENTRAL ARIZONA COLLEGE,AZ,COOLIDGE,PINAL,www.centralaz.edu/,4076,JUNIOR COLLEGES,(520) 494-5444
BE'ER YAAKOV TALMUDIC SEMINARY,NY,SPRING VALLEY,ROCKLAND,byts.edu/,565,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(845) 406-9699
CLAFLIN UNIVERSITY,SC,ORANGEBURG,ORANGEBURG,www.claflin.edu/,2048,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(803) 535-5000
MARY BALDWIN UNIVERSITY,VA,STAUNTON,STAUNTON CITY,https://www.marybaldwin.edu/,2110,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(540) 887-7019
EMPIRE BEAUTY SCHOOL-WEST GREENSBORO,NC,GREENSBORO,GUILFORD,www.empire.edu/,105,COSMETOLOGY AND BARBER SCHOOLS,(800) 920-4593
CLOUD COUNTY COMMUNITY COLLEGE,KS,CONCORDIA,CLOUD,https://www.cloud.edu/,1589,JUNIOR COLLEGES,(785) 243-1435
MISSISSIPPI GULF COAST COMMUNITY COLLEGE,MS,PERKINSTON,STONE,https://www.mgccc.edu/,8677,JUNIOR COLLEGES,(866) 735-1122
LORAIN COUNTY JOINT VOCATIONAL SCHOOL DISTRICT,OH,OBERLIN,LORAIN,https://www.lcjvs.com/loraincountyadultcareercenter_home.aspx,68,OTHER TECHNICAL AND TRADE SCHOOLS,(440) 774-1051 EXT 22322
NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,BENTONVILLE,BENTON,www.nwacc.edu/,7411,JUNIOR COLLEGES,(479) 986-4000
ALEXANDER PAUL INSTITUTE OF HAIR DESIGN,NC,GREENVILLE,PITT,https://www.alexanderpaul.edu/,46,COSMETOLOGY AND BARBER SCHOOLS,(252) 830-5536 EXT 2
UNITED STATES COAST GUARD ACADEMY,CT,NEW LONDON,NEW LONDON,https://www.uscga.edu/,1056,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(860) 444-8444
UNIVERSITY OF WISCONSIN-RIVER FALLS,WI,RIVER FALLS,PIERCE,https://www.uwrf.edu/,5855,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(715) 425-3911
AMERICAN CAREER COLLEGE-ONTARIO,CA,ONTARIO,SAN BERNARDINO,https://americancareercollege.edu/,1435,JUNIOR COLLEGES,(949) 783-4800
FEDERICO BEAUTY INSTITUTE,CA,SACRAMENTO,SACRAMENTO,federico.edu/,303,COSMETOLOGY AND BARBER SCHOOLS,(916) 929-4242
COLLEGE OF THE SISKIYOUS,CA,WEED,SISKIYOU,www.siskiyous.edu/,1276,JUNIOR COLLEGES,(530) 938-5555
MOREHOUSE SCHOOL OF MEDICINE,GA,ATLANTA,FULTON,www.msm.edu/,665,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(404) 752-1500
ALICE LLOYD COLLEGE,KY,PIPPA PASSES,KNOTT,www.alc.edu/,569,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(606) 368-6000
COLORADO STATE UNIVERSITY-FORT COLLINS,CO,FORT COLLINS,LARIMER,colostate.edu/,32428,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(970) 491-1101
CUYAMACA COLLEGE,CA,EL CAJON,SAN DIEGO,https://www.cuyamaca.edu/,8720,JUNIOR COLLEGES,(619) 660-4000
ANDERSON UNIVERSITY,IN,ANDERSON,MADISON,https://anderson.edu/,1406,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(765) 649-9071
UNION PRESBYTERIAN SEMINARY,VA,RICHMOND,RICHMOND CITY,www.upsem.edu/,169,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(804) 355-0671
LYNN UNIVERSITY,FL,BOCA RATON,PALM BEACH,www.lynn.edu/,3232,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(800) 888-5966
HOLY CROSS COLLEGE,IN,NOTRE DAME,ST. JOSEPH,www.hcc-nd.edu/,455,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(574) 239-8377
KALAMAZOO COLLEGE,MI,KALAMAZOO,KALAMAZOO,www.kzoo.edu/,1451,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(269) 337-7000
ST LOUIS COLLEGE OF HEALTH CAREERS-ST LOUIS,MO,SAINT LOUIS,ST. LOUIS CITY,www.slchc.edu/,100,JUNIOR COLLEGES,(314) 652-0300 EXT 2528
CORNELL UNIVERSITY,NY,ITHACA,TOMPKINS,www.cornell.edu/,23620,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(607) 255-2000
LINCOLN COLLEGE OF TECHNOLOGY-MARIETTA,GA,MARIETTA,COBB,www.lincolntech.edu/campus/marietta-ga,496,JUNIOR COLLEGES,(770) 226-0056
UNIVERSAL THERAPEUTIC MASSAGE INSTITUTE,NM,ALBUQUERQUE,BERNALILLO,www.utmi.com/,-999,OTHER TECHNICAL AND TRADE SCHOOLS,(505) 888-0020
MDT COLLEGE OF HEALTH SCIENCES,OH,HIGHLAND HEIGHTS,CUYAHOGA,www.atsinstitute.edu/,231,JUNIOR COLLEGES,(440) 449-1700
DIVERS INSTITUTE OF TECHNOLOGY,WA,SEATTLE,KING,www.diversinstitute.edu/,229,OTHER TECHNICAL AND TRADE SCHOOLS,(206) 783-5542
CENTENARY UNIVERSITY,NJ,HACKETTSTOWN,WARREN,www.centenaryuniversity.edu/,1629,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(908) 852-1400
GRACE SCHOOL OF THEOLOGY,TX,CONROE,MONTGOMERY,www.gsot.edu/,590,OTHER TECHNICAL AND TRADE SCHOOLS,(877) 476-8674
PIMA MEDICAL INSTITUTE-SEATTLE,WA,SEATTLE,KING,pmi.edu/,646,JUNIOR COLLEGES,(206) 322-6100
MADISON ONEIDA BOCES-PRACTICAL NURSING PROGRAM,NY,VERONA,ONEIDA,www.moboces.org/programs_services/adulted/health_occupations,25,OTHER TECHNICAL AND TRADE SCHOOLS,(315) 361-5800
WINEBRENNER THEOLOGICAL SEMINARY,OH,FINDLAY,HANCOCK,winebrenner.edu/,67,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(419) 434-4200
COMPU-MED VOCATIONAL CAREERS CORP,FL,HIALEAH,MIAMI-DADE,compumed.edu/,243,OTHER TECHNICAL AND TRADE SCHOOLS,(305) 888-9200
FAITH INTERNATIONAL UNIVERSITY,WA,TACOMA,PIERCE,https://www.faithseminary.edu/,318,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(253) 752-2020 EXT 110
UEI COLLEGE-GARDENA,CA,GARDENA,LOS ANGELES,https://www.uei.edu/,1142,OTHER TECHNICAL AND TRADE SCHOOLS,(424) 246-3000
CAPRI COLLEGE-CEDAR RAPIDS,IA,CEDAR RAPIDS,LINN,www.capricollege.edu/,133,COSMETOLOGY AND BARBER SCHOOLS,(319) 364-1541 EXT 206
BLACKBURN COLLEGE,IL,CARLINVILLE,MACOUPIN,www.blackburn.edu/,516,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(217) 854-3231
EDGECOMBE COMMUNITY COLLEGE,NC,TARBORO,EDGECOMBE,www.edgecombe.edu/,1459,JUNIOR COLLEGES,(252) 823-5166
JACKSON STATE UNIVERSITY,MS,JACKSON,HINDS,https://www.jsums.edu/,6921,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(601) 979-2121
DUTCHESS COMMUNITY COLLEGE,NY,POUGHKEEPSIE,DUTCHESS,www.sunydutchess.edu/,8034,JUNIOR COLLEGES,(845) 431-8000
MONTANA STATE UNIVERSITY,MT,BOZEMAN,GALLATIN,www.montana.edu/,16218,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(406) 994-0211
MANHATTAN COLLEGE,NY,RIVERDALE,BRONX,www.manhattan.edu/,3965,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(718) 862-7597
SUNY-SYSTEM OFFICE,NY,ALBANY,ALBANY,www.suny.edu/,-999,EDUCATIONAL SUPPORT SERVICES,(518) 320-1100
CAMEO COLLEGE OF ESSENTIAL BEAUTY,UT,MURRAY,SALT LAKE,www.cameocollege.com/,205,COSMETOLOGY AND BARBER SCHOOLS,(801) 747-5700
EVANS HAIRSTYLING COLLEGE-ST GEORGE,UT,SAINT GEORGE,WASHINGTON,evanscollege.com/,98,COSMETOLOGY AND BARBER SCHOOLS,(435) 673-6128
ARKANSAS STATE UNIVERSITY SYSTEM,AR,LITTLE ROCK,PULASKI,www.asusystem.edu/,-999,EDUCATIONAL SUPPORT SERVICES,(501) 660-1000
HOLYOKE COMMUNITY COLLEGE,MA,HOLYOKE,HAMPDEN,www.hcc.edu/,4209,JUNIOR COLLEGES,(413) 552-2000
WEST COAST UNIVERSITY-DALLAS,TX,DALLAS,DALLAS,westcoastuniversity.edu/,1496,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(214) 453-4533
PIERCE COLLEGE DISTRICT,WA,LAKEWOOD,PIERCE,www.pierce.ctc.edu/,8329,JUNIOR COLLEGES,(253) 964-6500
NORTH SEATTLE COLLEGE,WA,SEATTLE,KING,www.northseattle.edu/,5240,JUNIOR COLLEGES,(206) 934-3600
HUNTINGDON COUNTY CAREER AND TECHNOLOGY CENTER,PA,MILL CREEK,HUNTINGDON,www.hcctc.org/,41,OTHER TECHNICAL AND TRADE SCHOOLS,(814) 643-0951 EXT 1016
NORWICH UNIVERSITY,VT,NORTHFIELD,WASHINGTON,www.norwich.edu/,3975,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(802) 485-2000
BLACK HAWK COLLEGE,IL,MOLINE,ROCK ISLAND,www.bhc.edu/,3743,JUNIOR COLLEGES,(309) 796-5000
REED COLLEGE,OR,PORTLAND,MULTNOMAH,https://www.reed.edu/,1385,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(503) 771-1112
COSMETOLOGY & SPA ACADEMY,IL,CRYSTAL LAKE,MCHENRY,www.cosmetologyandspaacademy.edu/,352,COSMETOLOGY AND BARBER SCHOOLS,(815) 455-5900
MANSFIELD UNIVERSITY OF PENNSYLVANIA,PA,MANSFIELD,TIOGA,www.mansfield.edu/,1784,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(570) 662-4000
UTAH VALLEY UNIVERSITY,UT,OREM,UTAH,www.uvu.edu/,40936,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(801) 863-8000
METROPOLITAN STATE UNIVERSITY OF DENVER,CO,DENVER,DENVER,www.msudenver.edu/,19086,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(303) 556-3058
EAST TENNESSEE STATE UNIVERSITY,TN,JOHNSON CITY,WASHINGTON,www.etsu.edu/,13713,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(423) 439-1000
FAUST INSTITUTE OF COSMETOLOGY-STORM LAKE,IA,STORM LAKE,BUENA VISTA,www.faustinstitute.com/,-999,COSMETOLOGY AND BARBER SCHOOLS,(712) 732-6571
CRESCENT CITY BARTENDING SCHOOL,LA,NEW ORLEANS,ORLEANS,crescent.edu/,268,OTHER TECHNICAL AND TRADE SCHOOLS,(504) 822-3362
FOOTHILL-DE ANZA COMMUNITY COLLEGE DISTRICT,CA,LOS ALTOS HILLS,SANTA CLARA,www.fhda.edu/,-999,EDUCATIONAL SUPPORT SERVICES,(650) 949-6106
HOUSATONIC COMMUNITY COLLEGE,CT,BRIDGEPORT,FAIRFIELD,www.hcc.commnet.edu/,3821,JUNIOR COLLEGES,(203) 332-5000
LEWIS UNIVERSITY,IL,ROMEOVILLE,WILL,www.lewisu.edu/,6437,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(815) 838-0500
CHEMEKETA COMMUNITY COLLEGE,OR,SALEM,MARION,www.chemeketa.edu/,8328,JUNIOR COLLEGES,(503) 399-5000
WESTERN OREGON UNIVERSITY,OR,MONMOUTH,POLK,www.wou.edu/,4554,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(503) 838-8000
KUTZTOWN UNIVERSITY OF PENNSYLVANIA,PA,KUTZTOWN,BERKS,https://www.kutztown.edu/,7890,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(610) 683-4000
COASTLINE COMMUNITY COLLEGE,CA,FOUNTAIN VALLEY,ORANGE,www.coastline.edu/,8826,JUNIOR COLLEGES,(714) 546-7600
FOOTHILL COLLEGE,CA,LOS ALTOS HILLS,SANTA CLARA,https://foothill.edu/,14605,JUNIOR COLLEGES,(650) 949-7777
SOUTHWESTERN CHRISTIAN UNIVERSITY,OK,BETHANY,OKLAHOMA,www.swcu.edu/,486,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(405) 789-7661
EMMA'S BEAUTY ACADEMY-JUANA DIAZ,PR,JUANA DIAZ,JUANA DÍAZ,www.ebajuanadiaz.com/,289,COSMETOLOGY AND BARBER SCHOOLS,(787) 837-0303 EXT 0
AUTOMECA TECHNICAL COLLEGE-PONCE,PR,PONCE,PONCE,www.automeca.com/,148,OTHER TECHNICAL AND TRADE SCHOOLS,(787) 840-7880
